id,name,sku,jan_code,weight,shape,material,unit_price,printing_cost,category,status,description,min_stock_alert,prefix,origin,variety,suffix,image_url
bc375697-a454-47b8-bb88-80c1c8cd25df,国産備蓄米,1250213,4.99E+12,10,RＺ,【ＳＦポリ】,50,0,bag,active,別注10K SFﾎﾟﾘDH国内産備蓄米RZ,100,,国内産,備蓄米,,
006c613d-e26d-42c9-87bf-e486527a0dd5,宮城ひとめぼれ,1158413,4.99E+12,10,RＺ,【ＳＦマットポリ】,71.5,0,bag,active,●別注10K SFMﾎﾟﾘDH【ＮＢ】宮城ひとめぼれRZ,100,【ＮＢ】,宮城県,ひとめぼれ,,
a28e49bb-9ab4-4afe-8534-fb40ec25bdf4,宮城県金のいぶき,1208259,4.99E+12,5,単袋,【真空ラミ】,57,0,bag,active,●◆別注5K真空ラミ【単】宮城県金のいぶき,100,,宮城県,金のいぶき,,
c5de1234-9c62-4f11-948a-63bba4e0985a,廃棄版代　受1226861 校正間違い分,1227498,,10,その他,,0,0,other,inactive,廃棄版代 受1226861 校正間違い分,100,,,,,
d9b27e87-7373-4980-a24b-30e94a2e2c5d,廃棄版代　受1226862 校正間違い分,1227497,,5,その他,,0,0,other,inactive,廃棄版代 受1226862 校正間違い分,100,,,,,
560c0103-b27a-4c3b-84ce-1209ad54bda2,徳島県産こしひかり,1001035,4.99E+12,10,RＺ,【ＳＦポリ】,62.5,0,bag,active,●◆別注10K SFﾎﾟﾘDH【通常】徳島こしひかりRZ,100,,徳島県,こしひかり,,
a5fd997e-7fbd-431e-8da3-cdc9f91ea5f3,扇・もち米,1191907,4.99E+12,1,RＺ,【ＳＦポリ】,56,0,bag,active,別注1K SFﾎﾟﾘDH扇・もち米（日之出物産様）RZ,100,,国内産,もち米,（扇）（日之出物産様）,
2313b38d-850d-4cea-8743-748e9e150fda,新潟こしひかり,1151684,4.99E+12,10,RＺ,【ＳＦマットポリ】,63,0,bag,active,●◆別注10K SFMﾎﾟﾘDH【ＮＢ】新潟こしひかりRZ,100,【ＮＢ】,新潟,こしひかり,,
a35493d4-2cb1-43c5-a9cd-6d0342830b57,新潟こしひかり（コーヨー）,1125442,4.99E+12,2,RＺ,【ポリ】透明,40,0,bag,active,別注2KﾎﾟﾘDH【コーヨー様】新潟こしひかりRZ,100,,新潟,こしひかり,（コーヨー）,
9ecb6d47-c75e-47a2-b6ba-3fa97db9592a,新潟県こしひかり,78658,4.99E+12,1,RＺ,【ラミ】,69.5,0,bag,active,別注1KﾗﾐDH新潟県こしひかり（米匠庵）RZ,100,,新潟県,こしひかり,（米匠庵）,
d070ceb1-79fa-44e7-aa03-cdf5871b9b86,新米三重こしひかりＲ,1163055,4.99E+12,10,RＺ,【ＳＦマットポリ】,63,0,new_rice,active,●◆別注10K SFMﾎﾟﾘDH【ＮＢ・新米】三重こしひかりRZ,100,【ＮＢ・新米】,三重県,こしひかり,,
72ffa4d9-7fc3-4c56-bbfe-0f17dbbf3c36,滋賀県産羽二重糯,1089491,4.99E+12,1.4,RＺ,【ポリ】透明,37.5,0,bag,active,●◆別注1.4KﾎﾟﾘDH滋賀羽二重糯(220MM幅）RZ,100,,滋賀県,羽二重糯,,
f88f6b20-8367-4871-af60-ec73f7de0653,無洗米・アメリカ産カルローズ,1222876,4.99E+12,5,RＺ,【ポリ】透明,80,0,bag,active,●（ロゴ無）5KﾎﾟﾘDH無洗米・アメリカ産カルローズRZＳＰ米粒青,100,,アメリカ,,,
9145896f-f7de-4edc-81a3-0e558d6938b4,焼き餅・もち米（店名）,57354,4.99E+12,5,RＺ,【ラミ】,116,10,bag,active,5KﾗﾐDH焼き餅・もち米（店名）RZ,100,,国内産,もち米,（焼き餅）,
1558ef0a-c778-4fc8-9922-64e08c6f225c,熊本県産ひよくもち,80912,4.99E+12,1.4,RＺ,【ポリ】透明,40,0,bag,active,別注1.4KﾎﾟﾘDH熊本ひよくもちRZ,100,,熊本県,,,
fdb4a8a3-a883-4c1b-9123-82542e89f5ea,特栽米・ＪＡ京都やましろ産ひのひかり,1166883,-,5,RＺ,【ＳＦマットポリ】,93,0,bag,active,（ロゴ無）5K SFMﾎﾟﾘDH特栽米・ＪＡ京都やましろ産ひのひかりRAＳＰ雲竜柄無地,100,,ＪＡ京都やましろ,ひのひかり,,
5c77d8fe-58ba-4a31-998d-1d0730cd4b89,特栽米・金澤さんの魚沼産こしひかり,1167149,-,5,RＺ,【ポリポリ】,129,0,bag,active,5KﾎﾟﾘﾎﾟﾘDH特栽米・金澤さんの魚沼産こしひかりRZＳＰ雲竜柄無地,100,,金澤さんの魚沼,こしひかり,,
2836ad69-19d0-4443-8041-436f8073334f,特栽米・金澤さんの魚沼産こしひかりRZＳＰ,1167146,-,2,RＺ,【ポリポリ】,128,0,bag,active,2KﾎﾟﾘﾎﾟﾘDH特栽米・金澤さんの魚沼産こしひかりRZＳＰ雲竜柄無地,100,,金澤さんの魚沼,こしひかり,ＳＰ,
b81560f4-b8d2-477d-8423-14c5467dda12,白い宝石（米匠庵）,1246138,-,2,RＺ,【マットポリポリ】,165.5,0,bag,active,●【新版】2K MﾎﾟﾘﾎﾟﾘDH白い宝石（米匠庵）RZＳＰ丸窓雲竜柄無地,100,,国内産,白い宝石,SP（米匠庵）,
e52d9c1a-ea44-4b42-8d85-d8aa96f0329e,石川県産ゆめみづほ,1088880,4.99E+12,5,RＺ,【ポリ】透明,44,0,bag,active,別注5KﾎﾟﾘDH石川ゆめみづほRZ,100,,石川県,ゆめみづほ,,https://spdkgrsshwgqpvrezpdf.supabase.co/storage/v1/object/public/product-images/products/1769162689864_5w0qc4.webp
989ecdf1-720a-4445-ad7a-825dac389ddd,福井こしひかり,1149924,4.99E+12,10,RＺ,【ＳＦマットポリ】,63,0,bag,active,●◆別注10K SFMﾎﾟﾘDH【ＮＢ】福井こしひかりRZ,100,【NB】,福井県,こしひかり,,
bc3748cf-3bf5-430c-8544-6e14ef2db17c,福井県坂井市産華越前,1251234,-,2,RＺ,【ＳＦマットポリ】,56,0,bag,active,【新版】別注2K SFMﾎﾟﾘDH福井県坂井市産華越前RZ,100,,福井県坂井市,,,
c3996773-f70c-4df7-8737-07cee17c9a76,福岡のお米夢つくし（店名）,1243189,-,5,単袋,【ＳＦポリ】,41,16,bag,active,●【改版】5K SFﾎﾟﾘDH福岡のお米夢つくし（店名）,100,,福岡県,夢つくし,（店名）,
a273835a-4081-4124-9f20-b178b996e859,秋田あきたこまち,1149923,4.99E+12,10,RＺ,【ＳＦマットポリ】,63,0,bag,active,●◆別注10K SFMﾎﾟﾘDH【ＮＢ】秋田あきたこまちRZ,100,【NB】,秋田県,あきたこまち,,
af70ab45-dcaf-4cc0-86c6-927775f36096,秋田県産サキホコレ（店名）,1235632,4.99E+12,5,RＺ,【ラミ】マット,123.5,10,bag,active,●【新版】5K MﾗﾐDH 秋田県産サキホコレTS（店名）RZ,100,,秋田県,サキホコレ,（店名）,
923f6650-7bbc-432a-a6f0-fcb6a283baea,稔りの輝き,76186,4.99E+12,10,RＺ,【ポリ】透明,47,0,bag,active,●◆別注10KﾎﾟﾘDH笑顔の食卓・稔りの輝きRZ,100,,国内産,稔りの輝き,,
96333f49-b9f2-436a-8087-6699c9c796a2,近江の米こしひかり（万代）,1121695,4.99E+12,10,RＺ,【ポリ】透明,44,0,bag,active,●◆別注10K MﾎﾟﾘDH【新米】近江の米・滋賀こしひかり（マンダイ様）RZ,100,【新米】,滋賀県,こしひかり,（万代）,
6efcec00-90b9-474a-a34f-00b26ba01784,近江の米こしひかり（万代）,1127583,4.99E+12,10,RＺ,【ポリ】透明,48.5,0,bag,active,別注10K MﾎﾟﾘDH【通常】近江の米・滋賀こしひかり（マンダイ様）RZ,100,,滋賀県,こしひかり,（万代）,
